[2025-04-18 18:42:24,008] 18 root - INFO - Initiate the data ingestion
[2025-04-18 18:42:30,685] 72 root - INFO - Performed train test split on the dataframe
[2025-04-18 18:42:30,685] 74 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[2025-04-18 18:42:30,685] 80 root - INFO - Exploring train and test file path
[2025-04-18 18:42:30,749] 89 root - INFO - Exported train and test file path.
[2025-04-18 18:42:30,750] 20 root - INFO - Data Intiation Completed
[2025-04-18 18:42:30,860] 24 root - INFO - Initiate the data Validation
[2025-04-18 18:42:30,916] 34 root - INFO - Required number of columns 2
[2025-04-18 18:42:30,916] 35 root - INFO - Data Frame has columns:31
[2025-04-18 18:42:30,918] 34 root - INFO - Required number of columns 2
[2025-04-18 18:42:30,918] 35 root - INFO - Data Frame has columns:31
[2025-04-18 18:42:31,075] 26 root - INFO - Data validation completed
[2025-04-18 18:42:31,075] 29 root - INFO - Data transformation started
[2025-04-18 18:42:31,075] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[2025-04-18 18:42:31,075] 65 root - INFO - Starting data transformation
[2025-04-18 18:42:31,108] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[2025-04-18 18:42:31,108] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[2025-04-18 18:42:31,124] 45 root - INFO - Entered the save_object method of MainUtils class
[2025-04-18 18:42:31,128] 49 root - INFO - Exited the save_object method
[2025-04-18 18:42:31,128] 45 root - INFO - Entered the save_object method of MainUtils class
[2025-04-18 18:42:31,147] 49 root - INFO - Exited the save_object method
[2025-04-18 18:42:31,149] 33 root - INFO - Data Transformation completed
[2025-04-18 18:42:31,150] 35 root - INFO - Model Training started
