[2025-04-18 18:46:02,350] 18 root - INFO - Initiate the data ingestion
[2025-04-18 18:46:09,130] 72 root - INFO - Performed train test split on the dataframe
[2025-04-18 18:46:09,131] 74 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[2025-04-18 18:46:09,131] 80 root - INFO - Exploring train and test file path
[2025-04-18 18:46:09,192] 89 root - INFO - Exported train and test file path.
[2025-04-18 18:46:09,192] 20 root - INFO - Data Intiation Completed
[2025-04-18 18:46:09,199] 24 root - INFO - Initiate the data Validation
[2025-04-18 18:46:09,268] 34 root - INFO - Required number of columns 2
[2025-04-18 18:46:09,268] 35 root - INFO - Data Frame has columns:31
[2025-04-18 18:46:09,270] 34 root - INFO - Required number of columns 2
[2025-04-18 18:46:09,270] 35 root - INFO - Data Frame has columns:31
[2025-04-18 18:46:09,451] 26 root - INFO - Data validation completed
[2025-04-18 18:46:09,452] 29 root - INFO - Data transformation started
[2025-04-18 18:46:09,452] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[2025-04-18 18:46:09,452] 65 root - INFO - Starting data transformation
[2025-04-18 18:46:09,476] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[2025-04-18 18:46:09,476] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[2025-04-18 18:46:09,491] 45 root - INFO - Entered the save_object method of MainUtils class
[2025-04-18 18:46:09,494] 49 root - INFO - Exited the save_object method
[2025-04-18 18:46:09,494] 45 root - INFO - Entered the save_object method of MainUtils class
[2025-04-18 18:46:09,497] 49 root - INFO - Exited the save_object method
[2025-04-18 18:46:09,499] 33 root - INFO - Data Transformation completed
[2025-04-18 18:46:09,499] 35 root - INFO - Model Training started
