[2025-04-18 18:52:59,427] 18 root - INFO - Initiate the data ingestion
[2025-04-18 18:53:05,641] 72 root - INFO - Performed train test split on the dataframe
[2025-04-18 18:53:05,641] 74 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[2025-04-18 18:53:05,641] 80 root - INFO - Exploring train and test file path
[2025-04-18 18:53:05,704] 89 root - INFO - Exported train and test file path.
[2025-04-18 18:53:05,705] 20 root - INFO - Data Intiation Completed
[2025-04-18 18:53:05,711] 24 root - INFO - Initiate the data Validation
[2025-04-18 18:53:05,776] 34 root - INFO - Required number of columns 2
[2025-04-18 18:53:05,776] 35 root - INFO - Data Frame has columns:31
[2025-04-18 18:53:05,777] 34 root - INFO - Required number of columns 2
[2025-04-18 18:53:05,777] 35 root - INFO - Data Frame has columns:31
[2025-04-18 18:53:06,058] 26 root - INFO - Data validation completed
[2025-04-18 18:53:06,059] 29 root - INFO - Data transformation started
[2025-04-18 18:53:06,059] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[2025-04-18 18:53:06,059] 65 root - INFO - Starting data transformation
[2025-04-18 18:53:06,087] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[2025-04-18 18:53:06,088] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[2025-04-18 18:53:06,101] 45 root - INFO - Entered the save_object method of MainUtils class
[2025-04-18 18:53:06,105] 49 root - INFO - Exited the save_object method
[2025-04-18 18:53:06,105] 45 root - INFO - Entered the save_object method of MainUtils class
[2025-04-18 18:53:06,107] 49 root - INFO - Exited the save_object method
[2025-04-18 18:53:06,109] 33 root - INFO - Data Transformation completed
[2025-04-18 18:53:06,109] 35 root - INFO - Model Training started
[2025-04-18 18:56:31,184] 45 root - INFO - Entered the save_object method of MainUtils class
[2025-04-18 18:56:31,231] 49 root - INFO - Exited the save_object method
[2025-04-18 18:56:31,231] 111 root - INFO - Model trainer artifact: ModelTrainerArtifact(trained_model_file_path='Artifacts\\04_18_2025_18_52_58\\model_trainer\\trained_model\\model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=0.9907866761162296, precison_score=0.98948432760364, recall_score=0.9920924574209246), test_metric_artifact=ClassificationMetricArtifact(f1_score=0.980440097799511, precison_score=0.9788445890968267, recall_score=0.9820408163265306))
[2025-04-18 18:56:31,235] 40 root - INFO - Model Training artifact created
